SYMBOL,NAME,INDUSTRY,MARKET_CAP
ASAX,Astrea Acquisition,Blank Check / SPAC,217510115
ASB,Associated Banc-Corp,Banks,3157907965
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",358830492
ASGN,ASGN Incorporated,Professional Services,5199214000
ASH,Ashland Global Holdings,Chemicals,5693840382
ASIX,AdvanSix,Chemicals,1100122737
ASLE,AerSale,Airports & Air Services,1036605112
ASLN,ASLAN Pharmaceuticals,Biotechnology,48577184
ASM,Avino Silver & Gold Mines,Metals & Mining,73834951
ASMB,Assembly Biosciences,Biotechnology,102201854
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,2.35392E+11
ASND,Ascendis Pharma,Biotechnology,5970511816
ASO,Academy Sports and Outdoors,Specialty Retail,3957001200
ASPA,Abri SPAC I,Blank Check / SPAC,74694620
ASPN,Aspen Aerogels,Energy Equipment & Services,549993533
ASPS,Altisource Portfolio Solutions,Real Estate Management & Development,183353422
ASPU,Aspen Group,Diversified Consumer Services,24194208
ASR,Grupo Aeroportuario del Sureste,Transportation Infrastructure,6414900213
ASRT,Assertio Holdings,Pharmaceuticals,183077148
ASRV,AmeriServ Financial,Banks,68949677
ASTC,Astrotech,Aerospace & Defense,24364783
ASTE,Astec Industries,Machinery,1015887462
ASTL,Algoma Steel Group,Steel,983419320
ASTR,Astra Space,Aerospace & Defense,459195647
ASTS,AST SpaceMobile,Telecom Services,1979666172
ASUR,Asure Software,Software,115815350
ASX,ASE Technology Holding Company,Semiconductors & Semiconductor Equipment,13278663677
